gene,alias
ACAA1,ACAA|PTHIO|THIO
ACAA2,DSAEC
ACACA,ACAC|ACACAD|ACC|ACC1|ACCA
ACACB,ACC2|ACCB|HACC275
ACAD11,ACAD-11
ACAD8,ACAD-8|ARC42
ACAD9,NPD002
ACADL,ACAD4|LCAD
ACADM,ACAD1|MCAD|MCADH
ACADS,ACAD3|SCAD
ACADSB,2-MEBCAD|ACAD7|SBCAD
ACADVL,ACAD6|LCACD|VLCAD
ACAN,AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD
ACAP1,CENTB1
ACAP2,CENTB2|CNT-B2
ACAP3,CENTB5
ACAT1,ACAT|MAT|T2|THIL
ACBD3,GCP60|GOCAP1|GOLPH1|PAP7
ACBD4,HMFT0700
ACBD7,bA455B2.2
ACCS,ACS|PHACS
ACD,PIP1|PTOP|TINT1|TPP1
ACE,ACE1|CD143|DCP|DCP1
ACE2,ACEH
ACE3P,ACE3
ACER1,ALKCDase1|ASAH3
ACER2,ALKCDase2|ASAH3L
ACER3,APHC|PHCA|PLDECO
ACHE,ACEE|ARACHE|N-ACHE|YT
ACIN1,ACINUS|ACN|fSAP152
ACKR1,CCBP1|CD234|DARC|DARC/ACKR1|Dfy|FY|GPD|GpFy|WBCQ1
ACKR2,CCBP2|CCR10|CCR9|CMKBR9|D6|hD6
ACKR3,CMKOR1|CXC-R7|CXCR-7|CXCR7|GPR159|RDC-1|RDC1
ACKR4,CC-CKR-11|CCBP2|CCR-11|CCR10|CCR11|CCRL1|CCX CKR|CCX-CKR|CKR-11|PPR1|VSHK1
ACLY,ACL|ATPCL|CLATP
ACO1,ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1
ACO2,ACONM|HEL-S-284|ICRD|OCA8|OPA9
ACOD1,CAD|IRG1
ACOT1,ACH2|CTE-1|LACH2
ACOT11,BFIT|STARD14|THEA|THEM1
ACOT12,CACH-1|Cach|STARD15|THEAL
ACOT13,HT012|PNAS-27|THEM2
ACOT2,CTE-IA|CTE1A|MTE1|PTE2|PTE2A|ZAP128
ACOT4,PTE-Ib|PTE1B|PTE2B
ACOT6,C14orf42|c14_5530
ACOT7,ACH1|ACT|BACH|CTE-II|LACH|LACH1|hBACH
ACOT8,HNAACTE|NAP1|PTE-1|PTE-2|PTE1|PTE2|hACTE-III|hTE
ACOT9,ACATE2|CGI-16|MT-ACT48|MTACT48
ACOX1,ACOX|PALMCOX|SCOX
ACOX2,BCOX|BRCACOX|BRCOX|CBAS6|THCCox
ACP1,HAAP|LMW-PTP|LMWPTP
ACP2,LAP
ACP4,ACPT|AI1J
ACP5,HPAP|TRACP5a|TRACP5b|TRAP|TrATPase
ACP6,ACPL1|LPAP|PACPL1
ACP7,PAPL|PAPL1
ACPP,5'-NT|ACP-3|ACP3
ACRBP,CT23|OY-TES-1|SP32
ACRV1,D11S4365|SP-10|SPACA2
ACSBG1,BG|BG1|BGM|GR-LACS|LPD
ACSBG2,BGR|BRGL|PRTD-NY3|PRTDNY3
ACSF2,ACSMW|AVYV493
ACSL1,ACS1|FACL1|FACL2|LACS|LACS1|LACS2
ACSL3,ACS3|FACL3|LACS 3|LACS3|PRO2194
ACSL4,ACS4|FACL4|LACS4|MRX63|MRX68
ACSL5,ACS2|ACS5|FACL5
ACSL6,ACS2|FACL6|LACS 6|LACS2|LACS5
ACSM1,BUCS1|MACS1
ACSM2A,A-923A4.1|ACSM2
ACSM2B,ACSM2|HXMA|HYST1046
ACSM3,SA|SAH
ACSM6,C10orf129|bA310E22.3
ACSS1,ACAS2L|ACECS1|AceCS2L
ACSS2,ACAS2|ACECS|ACS|ACSA|dJ1161H23.1
ACTA1,ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3|SHPM
ACTA2,ACTSA
ACTA2-AS1,ZXF1|uc001kfo.1
ACTB,BRWS1|PS1TP5BP1
ACTBL2,ACT
ACTBP12,ACTGP5
ACTBP6,H8-PSI-BETA-AC3
ACTBP8,ACTBP2
ACTC1,ACTC|ASD5|CMD1R|CMH11|LVNC4
ACTG1,ACT|ACTG|DFNA20|DFNA26|HEL-176
ACTG1P1,ACT1GP1|ACTGP1|HY-psi-gamma-AC6
ACTG1P10,ACTGP10|ACTL1|ACTP1
ACTG1P2,ACTGP2|ACTL2
ACTG1P24,POTENP
ACTG1P3,ACTGP3|dJ545L17.4
ACTG1P4,ACTGP4
ACTG1P6,ACTGP6
ACTG1P7,ACTGP7
ACTG1P8,ACTGP8
ACTG1P9,ACTGP9
ACTG2,ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM
ACTL10,C20orf134|dJ63M2.2
ACTL6A,ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K
ACTL6B,ACTL6|BAF53B|arpNalpha
ACTL7B,Tact1
ACTL8,CT57
ACTL9,HSD21
ACTN1,BDPLT15
ACTN1-AS1,C14orf84
ACTN2,CMD1AA|CMH23
ACTN3,ACTN3D
ACTN4,ACTININ-4|FSGS|FSGS1
ACTR10,ACTR11|Arp10|Arp11|HARP11
ACTR1A,ARP1|Arp1A|CTRN1
ACTR1B,ARP1B|CTRN2|PC3
ACTR2,ARP2
ACTR3,ARP3
ACTR3B,ARP11|ARP3BETA
ACTR3BP2,FKSG73
ACTR3BP5,FKSG74
ACTR3C,ARP11
ACTR5,Arp5|INO80M
ACTR6,ARP6|CDA12|HSPC281|MSTP136|hARP6|hARPX
ACTR8,ARP8|INO80N|hArp8
ACTRT1,AIP1|ARIP1|ARPT1|HSD27
ACTRT2,ARPM2|ARPT2|Arp-T2|HARPM2
ACTRT3,ARP-T3|ARPM1
ACVR1,ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI
ACVR1B,ACTRIB|ACVRLK4|ALK4|SKR2
ACVR1C,ACVRLK7|ALK7
ACVR2A,ACTRII|ACVR2
ACVR2B,ACTRIIB|ActR-IIB|HTX4
ACVRL1,ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I
ACY1,ACY-1|ACY1D|HEL-S-5
ACY3,ACY-3|HCBP1
ACYP1,ACYPE
ACYP2,ACYM|ACYP
ADA2,ADGF|CECR1|IDGFL|PAN|SNEDS
ADAD1,Tenr
ADAD2,TENRL
ADAM10,AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz
ADAM11,MDC
ADAM12,ADAM12-OT1|CAR10|MCMP|MCMPMltna|MLTN|MLTNA
ADAM15,MDC15
ADAM17,ADAM18|CD156B|CSVP|NISBD|NISBD1|TACE
ADAM18,ADAM27|tMDCIII
ADAM19,FKSG34|MADDAM|MLTNB
ADAM1A,ADAM1|ADAM1P|FTNAP|Ftna|PH-30a
ADAM2,CRYN1|CRYN2|CT15|FTNB|PH-30b|PH30|PH30-beta
ADAM20P1,C14orf55
ADAM21,ADAM 21|ADAM31
ADAM21P1,ADAM21P
ADAM22,ADAM 22|MDC2
ADAM23,MDC-3|MDC3
ADAM24P,ADAM24
ADAM28,ADAM 28|MDC-L|MDCL|eMDC II|eMDCII
ADAM29,CT73|svph1
ADAM30,svph4
ADAM33,C20orf153|DJ964F7.1
ADAM3A,ADAM3|CYRN1|tMDCI
ADAM3B,CYRN2
ADAM5,ADAM5P|TMDCII
ADAM6,C14orf96|tMDCIV
ADAM7,ADAM 7|ADAM-7|EAPI|GP-83|GP83
ADAM8,CD156|CD156a|MS2
ADAM9,CORD9|MCMP|MDC9|Mltng
ADAMDEC1,M12.219
ADAMTS1,C3-C5|METH1
ADAMTS10,ADAM-TS10|ADAMTS-10|WMS|WMS1
ADAMTS12,PRO4389
ADAMTS13,ADAM-TS13|ADAMTS-13|C9orf8|VWFCP|vWF-CP
ADAMTS16,ADAMTS16s
ADAMTS18,ADAMTS21|KNO2|MMCAT
ADAMTS2,ADAM-TS2|ADAMTS-2|ADAMTS-3|EDSDERMS|NPI|PC I-NP|PCI-NP|PCINP|PCPNI|PNPI
ADAMTS20,ADAM-TS20|ADAMTS-20|GON-1
ADAMTS3,ADAMTS-4
ADAMTS4,ADAMTS-2|ADAMTS-4|ADMP-1
ADAMTS5,ADAM-TS 11|ADAM-TS 5|ADAM-TS5|ADAMTS-11|ADAMTS-5|ADAMTS11|ADMP-2
ADAMTS6,ADAM-TS 6|ADAM-TS6|ADAMTS-6
ADAMTS7,ADAM-TS 7|ADAM-TS7|ADAMTS-7
ADAMTS7P1,ADAMTS7P2
ADAMTS8,ADAM-TS8|METH2
ADAMTSL1,ADAMTSL-1|ADAMTSR1|C9orf94|PUNCTIN
ADAMTSL2,GPHYSD1
ADAMTSL3,ADAMTSL-3
ADAMTSL4,ADAMTSL-4|ECTOL2|TSRC1
ADAMTSL4-AS1,C1orf138
ADAMTSL5,THSD6
ADAP1,CENTA1|GCS1L|p42IP4
ADAP2,CENTA2|HSA272195|cent-b
ADAR,ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136
ADARB1,ADAR2|DRABA2|DRADA2|RED1
ADARB2,ADAR3|RED2
ADARB2-AS1,C10orf109|NCRNA00168
ADAT1,HADAT1
ADAT2,DEADC1|TAD2|dJ20N2|dJ20N2.1
ADAT3,FWP005|MRT36|MST121|MSTP121|S863-5|TAD3
ADCK2,AARF
ADCY1,AC1|DFNB44
ADCY10,HCA2|HEL-S-7a|SAC|SACI|Sacy|hsAC
ADCY2,AC2|HBAC2
ADCY3,AC-III|AC3
ADCY4,AC4
ADCY5,AC5|FDFM
ADCY6,AC6|LCCS8
ADCY7,AC7
ADCY8,AC8|ADCY3|HBAC1
ADCY9,AC9|ACIX
ADCYAP1,PACAP
ADCYAP1R1,PAC1|PAC1R|PACAPR|PACAPRI
ADD1,ADDA
ADD2,ADDB
ADD3,ADDL|CPSQ3
ADFN,ALDS
ADGB,C6orf103|CAPN16
ADGRA1,GPR123
ADGRA1-AS1,GPR123-AS1
ADGRA2,GPR124|TEM5
ADGRA3,GPR125|PGR21|TEM5L
ADGRB1,BAI1|GDAIF
ADGRB2,BAI2
ADGRB3,BAI3
ADGRD1,GPR133|PGR25
ADGRD1-AS1,LACAT8
ADGRD2,GPR144|PGR24
ADGRE1,EMR1|TM7LN3
ADGRE2,CD312|EMR2|VBU
ADGRE3,EMR3
ADGRE4P,EMR4|EMR4P|FIRE|GPR127|PGR16
ADGRE5,CD97|TM7LN1
ADGRF1,GPR110|KPG_012|PGR19|hGPCR36
ADGRF2,GPR111|PGR20|hGPCR35
ADGRF3,GPR113|PGR23
ADGRF4,GPR115|PGR18
ADGRF5,GPR116|KPG_001
ADGRF5P1,GPR116P1
ADGRF5P2,GPR116P2
ADGRG1,BFPP|BPPR|GPR56|TM7LN4|TM7XN1
ADGRG2,CBAVDX|EDDM6|GPR64|HE6|TM7LN2
ADGRG3,GPR97|PB99|PGR26
